EQ NB,algorithm,data_group,dataset,EQ NB,target_noise,true_model,# EVALUATIONS,STARTED,FINISHED,model_size,simplified_complexity,symbolic_error_is_zero,symbolic_error_is_constant,symbolic_fraction_is_constant,symbolic_solution,mse_test,mae_test,r2_test,r2_zero_test,accuracy_solution
63,PhySO,Feynman,feynman_II_11_27,63,0.01,-Ef*alpha*epsilon*n/(0.333*alpha*n - 1),4961901,5,5,11.0,11.0,0,0,0,0.0,1.4904627390561308e-05,0.0028147968454565126,0.9999699143618627,0.9999696199811281,1.0
64,PhySO,Feynman,feynman_II_11_28,64,0.01,-alpha*n/(0.333*alpha*n - 1) + 1,4988155,5,5,10.2,10.2,0,0,0,0.0,9.671935047039218e-07,0.0007520538143274831,0.9999886838715069,0.9999884876966211,1.0
65,PhySO,Feynman,feynman_II_13_17,65,0.01,0.159*I/(c**2*epsilon*r),3654640,5,2,12.0,12.0,5,5,5,1.0,1.2177269491463547e-11,1.803439142573219e-06,0.9999999807994635,0.9999999809613784,1.0
66,PhySO,Feynman,feynman_II_13_23,66,0.01,rho_c_0/(1 - v**2/c**2)**0.5,4472924,5,4,18.0,16.4,2,2,2,0.4,3.5294596989832226e-07,0.00044331367980382497,0.9999997603412513,0.9999997596799122,0.8
67,PhySO,Feynman,feynman_II_13_34,67,0.01,rho_c_0*v/(1 - v**2/c**2)**0.5,4956389,5,5,16.2,15.0,0,0,0,0.0,9.44385042313998e-07,0.000739864370466803,0.9999997896564031,0.9999997872864167,0.6
68,PhySO,Feynman,feynman_II_15_4,68,0.01,-B*mom*cos(theta),4508497,5,4,9.8,6.2,5,5,5,1.0,1.4920466864285438e-06,0.0007866428878995248,0.9999999458721666,0.9999999452375874,1.0
69,PhySO,Feynman,feynman_II_15_5,69,0.01,-Ef*p_d*cos(theta),4584072,5,2,9.4,6.0,5,5,5,1.0,1.503312219079494e-06,0.0007928855516876202,0.9999999445649868,0.9999999448247533,1.0
70,PhySO,Feynman,feynman_II_21_32,70,0.01,0.08*c*q/(epsilon*r*(c - v)),4952127,5,5,16.2,15.8,0,0,0,0.0,0.00016216409880897374,0.007028192373732919,0.9295455389950417,0.9296226035743522,0.2
71,PhySO,Feynman,feynman_II_24_17,71,0.01,3.14*(-1/d**2 + 0.101*omega**2/c**2)**0.5,4343289,5,4,18.0,18.0,3,3,5,1.0,1.240990808884116e-07,0.000309310161409954,0.9999998332454422,0.9999998329453985,1.0
72,PhySO,Feynman,feynman_II_27_16,72,0.01,Ef**2*c*epsilon,4953645,5,5,7.0,6.0,5,5,5,1.0,0.0009168350543692657,0.021818837662012897,0.9999998860348884,0.9999998857563819,1.0
73,PhySO,Feynman,feynman_II_27_18,73,0.01,Ef**2*epsilon,4952968,5,5,7.0,5.2,5,5,5,1.0,9.978198981630333e-05,0.007657634837575991,0.9999998475347116,0.9999998479732086,1.0
74,PhySO,Feynman,feynman_II_34_2a,74,0.01,0.159*q*v/r,4498489,5,3,7.0,7.0,5,5,5,1.0,1.4049713126007805e-09,2.9368611475042367e-05,0.9999999933339075,0.9999999933517786,1.0
75,PhySO,Feynman,feynman_II_34_2,75,0.01,0.5*q*r*v,3745942,5,3,5.0,5.0,5,5,5,1.0,1.2196581466595083e-06,0.0008879641525730613,0.9999999871162378,0.9999999871055858,1.0
76,PhySO,Feynman,feynman_II_34_11,76,0.01,0.5*B*g_*q/m,3263994,5,2,13.0,10.2,5,5,5,1.0,2.3232138456815445e-06,0.0009454230672974918,0.99999991021469,0.999999909787792,1.0
77,PhySO,Feynman,feynman_II_34_29a,77,0.01,0.08*h*q/m,4223271,5,2,8.4,7.0,5,5,5,1.0,1.7896716571872987e-09,3.3280458500469985e-05,0.9999999655734321,0.9999999654625531,1.0
78,PhySO,Feynman,feynman_II_34_29b,78,0.01,6.28*B*Jz*g_*mom/h,4963988,5,5,12.8,10.4,4,4,5,1.0,0.0003903963911741702,0.013452837306745274,0.9999999919484244,0.9999999920899343,1.0
79,PhySO,Feynman,feynman_II_35_18,79,0.01,n_0/(2*cosh(B*mom/(T*kb))),4961237,5,5,15.4,15.2,0,0,0,0.0,0.07578841284300931,0.23585006415887239,0.25697068349149854,0.24610368771162605,0.0
80,PhySO,Feynman,feynman_II_35_21,80,0.01,mom*n_rho*tanh(B*mom/(T*kb)),4952421,5,5,11.4,11.6,0,0,0,0.0,0.8634170070995456,0.6489955538606188,0.9654788680791405,0.9654616901371115,0.0
81,PhySO,Feynman,feynman_II_36_38,81,0.01,mom*(H*c**2*epsilon + M*alpha)/(T*c**2*epsilon*kb),4956838,5,5,15.8,15.0,0,0,0,0.0,0.22452001882816464,0.290664669045427,0.8203459413811183,0.8227561171907609,0.0
82,PhySO,Feynman,feynman_II_37_1,82,0.01,B*mom*(chi + 1),4960981,5,5,12.8,6.0,5,5,5,1.0,7.517953994197151e-05,0.005316158540089776,0.9999998673092408,0.9999998652134621,0.8
83,PhySO,Feynman,feynman_II_38_3,83,0.01,A*Y*x/d,4962768,5,5,18.8,7.4,4,4,5,1.0,4.722819618602651e-06,0.0017302679793881252,0.9999999538862185,0.9999999544975776,0.8
84,PhySO,Feynman,feynman_II_38_14,84,0.01,Y/(2*(sigma + 1)),4233238,5,0,13.2,8.0,5,5,5,1.0,4.0177892753205914e-09,5.224940575627742e-05,0.9999999120128771,0.999999911640838,1.0
85,PhySO,Feynman,feynman_III_4_32,85,0.01,1/(exp(0.159*h*omega/(T*kb)) - 1),4962189,5,5,14.0,12.0,0,0,0,0.0,0.00025826517817190505,0.010753366708155479,0.9999968479810819,0.9999969261276543,1.0
86,PhySO,Feynman,feynman_III_4_33,86,0.01,0.159*h*omega/(exp(0.159*h*omega/(T*kb)) - 1),4962970,5,5,20.8,20.4,0,0,0,0.0,1.2922835621603348e-05,0.0020405139908253782,0.9999995006128329,0.9999995281679501,1.0
87,PhySO,Feynman,feynman_III_7_38,87,0.01,12.6*B*mom/h,3426262,5,1,7.0,7.0,5,5,5,1.0,8.642351101824041e-06,0.0023156625196888323,0.9999999932483165,0.9999999932868194,1.0
88,PhySO,Feynman,feynman_III_8_54,88,0.01,sin(6.28*E_n*t/h)**2,4283298,5,0,13.2,11.6,5,5,5,1.0,1.1875431870023048e-08,7.60400964801863e-05,0.9999999043707956,0.9999999041877788,1.0
89,PhySO,Feynman,feynman_III_9_52,89,0.01,25.1*Ef*p_d*sin(t*(omega - omega_0)/2)**2/(h*t*(omega - omega_0)**2),4970409,5,5,21.6,20.8,0,0,0,0.0,121.57990745516621,7.4719332377695435,0.41674299532093184,0.41624956035937,0.0
90,PhySO,Feynman,feynman_III_10_19,90,0.01,mom*(Bx**2 + By**2 + Bz**2)**0.5,4971731,5,5,12.4,12.0,0,0,0,0.0,0.46350316171665623,0.5096052606173909,0.9913072468587721,0.9912323164506618,0.0
91,PhySO,Feynman,feynman_III_12_43,91,0.01,0.159*h*n,3410484,5,1,12.2,4.0,5,5,5,1.0,2.0635633761824303e-07,0.0003798019421649808,0.9999996801908372,0.9999996772377946,0.8
