epoch,mean_R,mean_R_train,overall_max_R,max_R,best_prog_complexity,mean_complexity,loss,n_physical,n_rewarded,best_prog_of_epoch,overall_best_prog,best_prog_of_epoch_prefix,overall_best_prog_prefix
770,0.07174690472150896,0.7979247339096596,0.9370946186526385,0.8804723163670546,16.0,20.315,0.5369634785007702,244,93,(((cos((((Omega-(log(((1)**(2)))-(exp(1)+x))))**(2)))*((H0)**(2))))**(0.5)),(H0*(((((((Omega)**(2))+log((x+Omega))))**(0.5)))**(0.5))),[4.30210664 0.79017692],[ 5.1745069  -0.01022454]
771,0.07488779364310529,0.7954082331548346,0.9370946186526385,0.8505509089327238,16.0,20.626,0.4899950815879344,219,99,(((H0*((exp((cos((x*1))-Omega))/(1/H0))-H0)))**(0.5)),(H0*(((((((Omega)**(2))+log((x+Omega))))**(0.5)))**(0.5))),[7.59487496 0.53175706],[ 5.1745069  -0.01022454]
772,0.08884436004272778,0.8007330170491573,0.9370946186526385,0.8900033366394151,13.0,20.231,0.5086797733405735,261,117,(((((log(1)+1)-(Omega/(1*x))))**(0.5))*H0),(H0*(((((((Omega)**(2))+log((x+Omega))))**(0.5)))**(0.5))),[11.25469712  1.0103801 ],[ 5.1745069  -0.01022454]
773,0.06370358542257279,0.7955728035395029,0.9370946186526385,0.850652758399725,22.0,20.527,0.598979418561613,217,85,((((sin((((((((((H0*(((Omega/(x*((H0)**(2)))))**(0.5))))**(-1)))**(2)))**(-1))-Omega)+1))*H0)*H0))**(0.5)),(H0*(((((((Omega)**(2))+log((x+Omega))))**(0.5)))**(0.5))),[ 7.02019017 -1.07618606],[ 5.1745069  -0.01022454]
774,0.07276578187661163,0.7968238374354898,0.9370946186526385,0.837684000236561,15.0,20.492,0.4961771206627366,232,95,(Omega/((x+(cos(1)*((1/log(x))-1)))/H0)),(H0*(((((((Omega)**(2))+log((x+Omega))))**(0.5)))**(0.5))),[4.19259613 4.19259613],[ 5.1745069  -0.01022454]
775,0.07612171678099423,0.7997491329724303,0.9370946186526385,0.8852274178716825,12.0,20.293,0.5529712579522866,246,99,(H0*(((((sin(1)+sin(x))-Omega)*x))**(0.5))),(H0*(((((((Omega)**(2))+log((x+Omega))))**(0.5)))**(0.5))),[12.57585573  1.68850456],[ 5.1745069  -0.01022454]
776,0.06271806180156339,0.7897142599662379,0.9370946186526385,0.8304490742186437,8.0,20.882,0.43620446167370347,204,83,(H0+(Omega*(H0*log(x)))),(H0*(((((((Omega)**(2))+log((x+Omega))))**(0.5)))**(0.5))),[ 0.49585189 36.35403024],[ 5.1745069  -0.01022454]
777,0.07581223173967766,0.7974275130814108,0.9370946186526385,0.9274230725624136,12.0,20.576,0.5331980561501579,227,100,((((((log(Omega)+(Omega+x)))**(0.5))/((((H0)**(-1)))**(2))))**(0.5)),(H0*(((((((Omega)**(2))+log((x+Omega))))**(0.5)))**(0.5))),[4.63012463 0.27621083],[ 5.1745069  -0.01022454]
778,0.07637432349226182,0.7926597484020205,0.9370946186526385,0.8388374530564352,16.0,20.324,0.38360118225614687,232,101,(((sin(exp(((((((((Omega)**(2))*Omega))**(-1))+Omega)/x)-Omega))))**(2))*H0),(H0*(((((((Omega)**(2))+log((x+Omega))))**(0.5)))**(0.5))),[5.32539768 0.98466622],[ 5.1745069  -0.01022454]
779,0.08363922934060126,0.7900147749838231,0.9370946186526385,0.8380928417868281,15.0,20.451,0.3570795907068096,245,110,(((1)**(2))*(((exp(1))**(-1))*(((log(x)*(1*((H0)**(2)))))**(0.5)))),(H0*(((((((Omega)**(2))+log((x+Omega))))**(0.5)))**(0.5))),[20.38631862  1.        ],[ 5.1745069  -0.01022454]
780,0.07999656435360157,0.7908843423794063,0.9370946186526385,0.8380666103133187,10.0,20.364,0.342219055890545,235,106,(H0*(((sin(log((x*1))))**(0.5))*Omega)),(H0*(((((((Omega)**(2))+log((x+Omega))))**(0.5)))**(0.5))),[2.74304424 2.74304424],[ 5.1745069  -0.01022454]
781,0.0722519708403254,0.7912658254763688,0.9370946186526385,0.8348315989372551,13.0,20.533,0.3694213526123761,249,95,(((((((1)**(2))-((((x)**(-1)))**(2))))**(0.5))*x)*(x*H0)),(H0*(((((((Omega)**(2))+log((x+Omega))))**(0.5)))**(0.5))),[4.39194407 1.        ],[ 5.1745069  -0.01022454]
782,0.07656091036819944,0.7902764132440768,0.9370946186526385,0.8695305106020064,16.0,20.294,0.3337221304588641,242,101,((((((((x/1)*((1)**(-1)))*H0))**(2))+(Omega/((((H0)**(-1)))**(2)))))**(0.5)),(H0*(((((((Omega)**(2))+log((x+Omega))))**(0.5)))**(0.5))),[ 5.40443936 -1.02034034],[ 5.1745069  -0.01022454]
783,0.07529631603414778,0.7990904083845595,0.9370946186526385,0.8925343100474286,18.0,20.435,0.5954706403084663,230,99,(((((x+(1/((((log(Omega)/1)+x))**(0.5))))*x)*(1/H0)))**(-1)),(H0*(((((((Omega)**(2))+log((x+Omega))))**(0.5)))**(0.5))),[16.19431926  0.36408098],[ 5.1745069  -0.01022454]
784,0.0677034835748039,0.789004103247041,0.9370946186526385,0.8789584757792732,20.0,20.686,0.44085265425793796,220,89,(((sin((log((((((1+1)/x))**(2))-1))+Omega))/(((x*(1/H0)))**(2))))**(0.5)),(H0*(((((((Omega)**(2))+log((x+Omega))))**(0.5)))**(0.5))),[5.61147392 2.06992332],[ 5.1745069  -0.01022454]
785,0.07255026629326942,0.7912401209999946,0.9370946186526385,0.838092877169393,14.0,20.318,0.3672438936215917,250,97,((((((log(((((x)**(-1)))**(0.5))))**(0.5))*((1)**(0.5)))*H0)-H0)+H0),(H0*(((((((Omega)**(2))+log((x+Omega))))**(0.5)))**(0.5))),[10.60485983  1.        ],[ 5.1745069  -0.01022454]
786,0.08796098604174665,0.7973325948290941,0.9370946186526385,0.8639124737788189,16.0,20.321,0.4292722254328876,247,115,((((((((x)**(-1))+(cos(Omega)/1))*x)+Omega)*(H0*H0)))**(0.5)),(H0*(((((((Omega)**(2))+log((x+Omega))))**(0.5)))**(0.5))),[14.04697407 -1.28488532],[ 5.1745069  -0.01022454]
