i_eq,i_trial,noise,n_reals,# EVALUATIONS,STARTED,FINISHED,last_pareto_expression,symbolic_error,symbolic_fraction,symbolic_error_is_zero,symbolic_error_is_constant,symbolic_fraction_is_constant,sympy_exception,symbolic_solution,equivalent_expr,i_pareto,test_r2,accuracy_solution,test_r2_refit,accuracy_solution_refit,RUN COMMAND,RUN NAME,result_analysis_time
0,0,0.0,1,198251,True,True,-0.93*sin(1.13*t - 0.5),0,1,True,True,True,,True,-0.93*sin(1.13*t - 0.5),12,0.9999999999999996,True,0.9999999999999994,True,python classbench_run.py -i 0 -t 0 -n 0.000000 -r 1,CR_0_0_1_0.000000,2.165008783340454
0,0,0.0,10,198783,True,True,-0.93*sin(1.16*t - 0.7),-0.07*cos(1.13*t + pi/3),0.94,False,False,True,,True,cos(1.13*t + 1.06),6,0.9859372028120816,False,0.997367731962592,False,python classbench_run.py -i 0 -t 0 -n 0.000000 -r 10,CR_0_0_10_0.000000,1.7655699253082275
0,0,0.001,1,198112,True,True,0.93*sin(1.13*t + 2.64),0,1,True,True,True,,True,0.93*sin(1.13*t + 2.64),13,0.9999999832652255,True,0.99999999999729,True,python classbench_run.py -i 0 -t 0 -n 0.001000 -r 1,CR_0_0_1_0.001000,4.455453157424927
0,0,0.001,10,199024,True,True,0.89*cos(1.11*t + 1.18),-0.06*cos(1.13*t + pi/3),0.94,False,False,True,,True,sin(1.13*t - 3.65),7,0.9931177369912964,False,0.999962248520877,True,python classbench_run.py -i 0 -t 0 -n 0.001000 -r 10,CR_0_0_10_0.001000,1.495908260345459
0,0,0.01,1,198031,True,True,0.93*sin(1.13*t + 2.64),0,1,True,True,True,,True,0.93*sin(1.13*t + 2.64),8,0.9999963124429164,True,0.998045736094516,False,python classbench_run.py -i 0 -t 0 -n 0.010000 -r 1,CR_0_0_1_0.010000,1.909830093383789
0,0,0.01,10,198845,True,True,-0.93*sin(1.13*t - 0.51),0,1,True,True,True,,True,-0.93*sin(1.13*t - 0.51),8,0.9893769882398128,False,0.999999999998413,True,python classbench_run.py -i 0 -t 0 -n 0.010000 -r 10,CR_0_0_10_0.010000,2.560321092605591
0,0,0.1,1,199511,True,True,-0.93*sin(1.13*t + 5.79),0,1,True,True,True,,True,-0.93*sin(1.13*t + 5.79),10,0.9996762009722792,True,0.9999999704818348,True,python classbench_run.py -i 0 -t 0 -n 0.100000 -r 1,CR_0_0_1_0.100000,2.140951156616211
0,0,0.1,10,198911,True,True,0.96*cos(1.14*t + 1.04),-0.06*cos(1.13*t + pi/3),0.94,False,False,True,,True,sin(1.13*t - 3.64),5,0.9560594085208606,False,0.9991730309082656,True,python classbench_run.py -i 0 -t 0 -n 0.100000 -r 10,CR_0_0_10_0.100000,1.437858819961548
0,1,0.0,1,198887,True,True,0.85*cos(1.14*t + 0.95),0,1,True,True,True,,True,0.85*cos(1.14*t + 0.95),13,0.9999999999999984,True,0.9999999999978928,True,python classbench_run.py -i 0 -t 1 -n 0.000000 -r 1,CR_0_1_1_0.000000,4.8194050788879395
0,1,0.0,10,199063,True,True,0.84*cos(1.12*t + 1.06),-0.07*cos(1.14*t + 0.3*pi),0.94,False,False,True,,True,0.92*sin(1.14*t + 2.51),5,0.9990258103024277,True,0.9999999999971448,True,python classbench_run.py -i 0 -t 1 -n 0.000000 -r 10,CR_0_1_10_0.000000,1.6269643306732178
