EQ NB,algorithm,data_group,dataset,EQ NB,target_noise,true_model,# EVALUATIONS,STARTED,FINISHED,model_size,simplified_complexity,symbolic_error_is_zero,symbolic_error_is_constant,symbolic_fraction_is_constant,symbolic_solution,mse_test,mae_test,r2_test,r2_zero_test,accuracy_solution
72,PhySO,Feynman,feynman_II_27_16,72,0.1,Ef**2*c*epsilon,4952193,5,5,7.0,6.0,5,5,5,1.0,1.647165891774128e-08,9.203196183582437e-05,0.9999999999979513,0.9999999999979594,1.0
73,PhySO,Feynman,feynman_II_27_18,73,0.1,Ef**2*epsilon,4954016,5,5,6.0,5.4,5,5,5,1.0,0.0015929739356108832,0.030816496972606265,0.9999975584815681,0.9999975545889511,1.0
74,PhySO,Feynman,feynman_II_34_2a,74,0.1,0.159*q*v/r,4954513,5,5,7.0,7.0,5,5,5,1.0,3.813393342200542e-07,0.0004868790176319279,0.9999981772190545,0.9999981655740527,1.0
75,PhySO,Feynman,feynman_II_34_2,75,0.1,0.5*q*r*v,4952705,5,5,5.0,5.0,5,5,5,1.0,0.00011749573553002606,0.008788277304981945,0.9999987589302978,0.9999987512530616,1.0
76,PhySO,Feynman,feynman_II_34_11,76,0.1,0.5*B*g_*q/m,4956028,5,5,9.2,8.0,5,5,5,1.0,3.93926360306462e-05,0.004606484106016992,0.9999984525930439,0.9999984487254011,1.0
77,PhySO,Feynman,feynman_II_34_29a,77,0.1,0.08*h*q/m,4956908,5,5,7.0,7.0,5,5,5,1.0,1.0342266921267932e-07,0.00025227666196514785,0.9999980184849214,0.9999980056500817,1.0
78,PhySO,Feynman,feynman_II_34_29b,78,0.1,6.28*B*Jz*g_*mom/h,4963361,5,5,10.4,9.4,2,2,5,1.0,0.022051381094631332,0.0913330221155966,0.9999995491352699,0.9999995428407142,1.0
79,PhySO,Feynman,feynman_II_35_18,79,0.1,n_0/(2*cosh(B*mom/(T*kb))),4959809,5,5,15.0,15.2,0,0,0,0.0,0.02952685365342907,0.12674309368362197,0.7046543506956835,0.7039836221032285,0.0
80,PhySO,Feynman,feynman_II_35_21,80,0.1,mom*n_rho*tanh(B*mom/(T*kb)),4955848,5,5,14.4,14.4,0,0,0,0.0,0.8670156996514669,0.6396665355758628,0.9657655848352059,0.9663098882168899,0.0
81,PhySO,Feynman,feynman_II_36_38,81,0.1,mom*(H*c**2*epsilon + M*alpha)/(T*c**2*epsilon*kb),4965606,5,5,15.0,15.4,0,0,0,0.0,0.22808566274805633,0.28241829471222163,0.8209480580119242,0.8190434871886401,0.0
82,PhySO,Feynman,feynman_II_37_1,82,0.1,B*mom*(chi + 1),4959295,5,5,10.0,8.0,3,3,3,0.6,0.0035305493631341174,0.05156310714560835,0.9999937014254214,0.9999936902088742,0.8
83,PhySO,Feynman,feynman_II_38_3,83,0.1,A*Y*x/d,4956576,5,5,14.4,13.2,3,3,5,1.0,0.00041991338988088593,0.015308989927331368,0.9999959842575915,0.9999958860348939,1.0
84,PhySO,Feynman,feynman_II_38_14,84,0.1,Y/(2*(sigma + 1)),4963780,5,5,16.8,15.4,0,0,0,0.0,5.876616833726121e-07,0.0005741573495162249,0.9999870170491172,0.9999868520270434,1.0
85,PhySO,Feynman,feynman_III_4_32,85,0.1,1/(exp(0.159*h*omega/(T*kb)) - 1),4966627,5,5,19.0,16.8,0,0,0,0.0,0.0004985120086264855,0.013914262316866169,0.9999941407226803,0.9999941438729671,1.0
86,PhySO,Feynman,feynman_III_4_33,86,0.1,0.159*h*omega/(exp(0.159*h*omega/(T*kb)) - 1),4953621,5,5,15.0,13.4,0,0,0,0.0,0.00033570267621376565,0.012055228813551625,0.9999871519314747,0.9999869526444661,1.0
87,PhySO,Feynman,feynman_III_7_38,87,0.1,12.6*B*mom/h,4952616,5,5,7.0,7.0,0,0,5,1.0,0.0021458685904155116,0.0363170751798526,0.9999983615255378,0.9999983706097492,0.8
