m,x,y,z,vx,vy,vz,ra,dec,dis,vh,mu_r,mu_d,l,b,mu_l,mu_b,l_alt,phi1,phi2,mu_p1,mu_p2,sID
0.0,32.836211,27.432837,2.115304,-21.98403,72.207994,60.775247,281.059209,1.87075,49.388263,-124.480704,-0.473613,-0.38624,33.777051,2.454734,-0.559506,0.245854,33.777051,-83.45324,19.536076,-0.06897,0.607235,53
0.0,32.587357,28.13041,2.721003,-27.766278,67.297405,60.347931,280.82217,2.923527,49.603812,-133.054347,-0.475073,-0.377701,34.607879,3.144522,-0.552345,0.251529,34.607879,-82.380052,19.163061,-0.057142,0.604224,53
0.0,32.281285,28.778594,3.321926,-33.428883,62.329774,59.820524,280.58286,3.959657,49.761395,-141.517467,-0.477181,-0.369258,35.424153,3.827746,-0.545496,0.257852,35.424153,-81.325316,18.794509,-0.045166,0.601676,53
0.0,31.919155,29.376806,3.917083,-38.978937,57.302422,59.194796,280.340681,4.981541,49.861028,-149.88167,-0.479948,-0.360892,36.228021,4.5058,-0.538937,0.26484,36.228021,-80.286318,18.429826,-0.032993,0.599587,53
0.0,31.502061,29.924432,4.505495,-44.422895,52.212195,58.47187,280.095013,5.991457,49.902689,-158.157924,-0.483393,-0.352578,37.02151,5.180039,-0.53265,0.272514,37.02151,-79.26049,18.068432,-0.02057,0.597961,53
0.0,31.031032,30.420827,5.086195,-49.766608,47.055489,57.652249,279.845209,6.991584,49.886314,-166.356623,-0.487538,-0.34429,37.806554,5.851801,-0.526614,0.280904,37.806554,-78.245379,17.709764,-0.007842,0.596798,53
0.0,30.507046,30.865306,5.658215,-55.015347,41.82825,56.735836,279.590583,7.984028,49.811799,-174.487645,-0.492415,-0.336,38.585016,6.522413,-0.520806,0.29005,38.585016,-77.238621,17.353266,0.005253,0.596105,53
0.0,29.931027,31.257141,6.220585,-60.173823,36.525987,55.721944,279.330401,8.970841,49.678995,-182.5604,-0.498059,-0.327676,39.358709,7.193206,-0.515204,0.299999,39.358709,-76.237912,16.998387,0.018783,0.595887,53
0.0,29.303858,31.595558,6.772322,-65.246194,31.143755,54.609296,279.063874,9.954043,49.487709,-190.583877,-0.504517,-0.319284,40.129416,7.865528,-0.509782,0.310808,40.129416,-75.240986,16.644583,0.032821,0.596157,53
0.0,28.62638,31.879731,7.312433,-70.236068,25.676152,53.39602,278.790144,10.935639,49.237702,-198.566669,-0.511842,-0.310786,40.898913,8.540755,-0.504515,0.322545,40.898913,-74.245589,16.291304,0.04745,0.596925,53
0.0,27.899402,32.108776,7.839897,-75.146492,20.117293,52.079626,278.508271,11.917643,48.928688,-206.517003,-0.520098,-0.302142,41.668984,9.220309,-0.499372,0.335289,41.668984,-73.249451,15.937998,0.062761,0.598208,53
0.0,27.123708,32.281751,8.353668,-79.979934,14.460788,50.656985,278.217217,12.902096,48.560331,-214.442756,-0.52936,-0.293305,42.441448,9.905671,-0.494322,0.349135,42.441448,-72.250266,15.584105,0.078859,0.600026,53
0.0,26.300056,32.397643,8.852667,-84.738252,8.699716,49.124288,277.915826,13.891087,48.132248,-222.351455,-0.539717,-0.284223,43.21818,10.598395,-0.489329,0.36419,43.21818,-71.24566,15.22905,0.095861,0.602402,53
0.0,25.429191,32.45537,9.33577,-89.422647,2.826578,47.477001,277.602806,14.886779,47.644002,-230.250271,-0.551274,-0.27484,44.001132,11.300137,-0.484352,0.380583,44.001132,-70.233164,14.872241,0.1139,0.605365,53
0.0,24.511849,32.453773,9.801805,-94.033607,-3.166732,45.709803,277.276697,15.891431,47.095106,-238.145993,-0.564154,-0.265088,44.792365,12.012665,-0.479342,0.398462,44.792365,-69.210178,14.513066,0.133131,0.608948,53
0.0,23.548766,32.391605,10.249543,-98.570822,-9.288985,43.816516,276.935839,16.907425,46.485018,-246.044986,-0.578502,-0.254895,45.594075,12.737893,-0.474246,0.418003,45.594075,-68.17394,14.150882,0.153731,0.613191,53
0.0,22.540684,32.267531,10.677689,-103.033082,-15.549661,41.790014,276.578334,17.937301,45.813144,-253.953118,-0.594492,-0.244173,46.408633,13.477909,-0.468998,0.43941,46.408633,-67.121477,13.785015,0.175908,0.61814,53
