#name zcmb zhel dz mb dmb
15287 0.23603 0.23603 0.0 21.1547 0.12315 
15301 0.17831 0.17831 0.0 20.37535 0.1134 
15354 0.22043 0.22043 0.0 20.81795 0.15445 
15383 0.31468 0.31468 0.0 21.8201 0.1572 
15421 0.1846 0.1846 0.0 20.55175 0.1118 
15440 0.2611 0.2611 0.0 21.2036 0.13865 
15443 0.18122 0.18122 0.0 20.21145 0.10535 
15456 0.38003 0.38003 0.0 22.03255 0.1506 
15461 0.1846 0.1846 0.0 20.38765 0.1082 
15467 0.20824 0.20824 0.0 20.65465 0.12075 
15583 0.17746 0.17746 0.0 20.33625 0.12905 
15776 0.31555 0.31555 0.0 21.7168 0.15355 
15868 0.24954 0.24954 0.0 21.1676 0.1247 
15901 0.20324 0.20324 0.0 20.6509 0.11955 
16021 0.12347 0.12347 0.0 19.4198 0.10285 
16032 0.20314 0.20314 0.0 20.64385 0.12035 
16073 0.15352 0.15352 0.0 20.1226 0.10495 
16093 0.33398 0.33398 0.0 21.9349 0.1592 
16099 0.19582 0.19582 0.0 20.5286 0.1151 
16106 0.24943 0.24943 0.0 21.0769 0.14445 
16116 0.1549 0.1549 0.0 20.0251 0.1063 
16165 0.15625 0.15625 0.0 19.98785 0.12595 
16206 0.15819 0.15819 0.0 19.81685 0.12375 
16211 0.309 0.309 0.0 21.8114 0.19685 
16213 0.24828 0.24828 0.0 21.1261 0.1388 
16281 0.18484 0.18484 0.0 20.31575 0.1235 
17168 0.18353 0.18353 0.0 20.5074 0.1247 
17215 0.18212 0.18212 0.0 20.37965 0.13765 
17218 0.17675 0.17675 0.0 20.28545 0.129 
17220 0.17748 0.17748 0.0 20.0718 0.12115 
17240 0.0718 0.0718 0.0 18.0121 0.1254 
17366 0.13796 0.13796 0.0 19.66285 0.10475 
17389 0.16941 0.16941 0.0 20.46515 0.1317 
17464 0.24527 0.24527 0.0 20.7198 0.14705 
17497 0.14406 0.14406 0.0 19.81665 0.10485 
17552 0.25163 0.25163 0.0 21.2338 0.1462 
17784 0.03743 0.03743 0.0 16.7708 0.1166 
17791 0.27716 0.27716 0.0 21.8807 0.2055 
17809 0.28712 0.28712 0.0 21.2668 0.1491 
17811 0.19845 0.19845 0.0 20.61015 0.13895 
17825 0.16031 0.16031 0.0 20.07605 0.129 
17875 0.21053 0.21053 0.0 21.0136 0.15075 
17884 0.23753 0.23753 0.0 21.0147 0.1316 
18030 0.15499 0.15499 0.0 20.14265 0.11795 
18241 0.0939 0.0939 0.0 18.94955 0.14945 
18323 0.15253 0.15253 0.0 20.08555 0.11355 
18325 0.25693 0.25693 0.0 21.2741 0.1446 
18466 0.21231 0.21231 0.0 20.80065 0.1303 
18486 0.24583 0.24583 0.0 20.88445 0.13085 
18602 0.13679 0.13679 0.0 19.76485 0.11075 
18617 0.32529 0.32529 0.0 21.9051 0.1809 
18697 0.10643 0.10643 0.0 19.09035 0.10245 
18721 0.4008 0.4008 0.0 22.30585 0.1602 
18749 0.1891 0.1891 0.0 20.4864 0.13035 
18804 0.19731 0.19731 0.0 20.4352 0.1122 
18809 0.12783 0.12783 0.0 19.5616 0.132 
18835 0.12291 0.12291 0.0 19.44025 0.1033 
18855 0.12687 0.12687 0.0 19.59325 0.10365 
18927 0.21311 0.21311 0.0 20.67635 0.1429 
18940 0.21075 0.21075 0.0 20.727 0.12695 
18945 0.26826 0.26826 0.0 21.4883 0.15275 
18965 0.20431 0.20431 0.0 20.66435 0.12435 
19002 0.26991 0.26991 0.0 21.2859 0.12695 
19023 0.24162 0.24162 0.0 20.98075 0.15175 
19027 0.2908 0.2908 0.0 21.236 0.14645 
19067 0.35306 0.35306 0.0 21.81675 0.1515 
19128 0.28509 0.28509 0.0 21.60225 0.15435 
19230 0.21929 0.21929 0.0 20.6719 0.1534 
19282 0.17537 0.17537 0.0 20.24765 0.1249 
19341 0.23517 0.23517 0.0 20.9929 0.1458 
19353 0.15298 0.15298 0.0 19.99965 0.1096 
19425 0.20982 0.20982 0.0 20.90475 0.1584 
19596 0.29121 0.29121 0.0 21.51945 0.1501 
19632 0.31353 0.31353 0.0 21.8225 0.14945 
19775 0.13672 0.13672 0.0 19.7402 0.1138 
19794 0.29532 0.29532 0.0 21.7708 0.1925 
19818 0.30369 0.30369 0.0 21.49625 0.135 
19913 0.20532 0.20532 0.0 20.73155 0.1351 
19953 0.12175 0.12175 0.0 19.34125 0.09805 
19969 0.17424 0.17424 0.0 20.2369 0.11045 
19990 0.24862 0.24862 0.0 21.2028 0.13995 
20039 0.2453 0.2453 0.0 21.1159 0.14105 
20084 0.13816 0.13816 0.0 19.8495 0.1169 
20088 0.24288 0.24288 0.0 21.02795 0.1175 
20111 0.24237 0.24237 0.0 21.18455 0.15195 
20142 0.31437 0.31437 0.0 21.3618 0.137 
20227 0.2754 0.2754 0.0 21.4485 0.153 
20245 0.30004 0.30004 0.0 21.4204 0.15885 
20364 0.21735 0.21735 0.0 20.89395 0.15665 
20581 0.20311 0.20311 0.0 20.5734 0.12555 
20687 0.19005 0.19005 0.0 20.4061 0.1552 
21006 0.29003 0.29003 0.0 21.3714 0.15315 
21033 0.22796 0.22796 0.0 20.83435 0.15045 
21042 0.31032 0.31032 0.0 21.45975 0.15795 
21062 0.13712 0.13712 0.0 20.12265 0.11415 
21502 0.08798 0.08798 0.0 18.6796 0.1066 
722 0.08534 0.08534 0.0 18.62285 0.1057 
762 0.19024 0.19024 0.0 20.6486 0.11825 
774 0.09278 0.09278 0.0 18.8576 0.109 
1032 0.12891 0.12891 0.0 19.58985 0.12795 
1253 0.26136 0.26136 0.0 21.1668 0.15835 
2017 0.26132 0.26132 0.0 21.4559 0.17885 
2246 0.1957 0.1957 0.0 20.61715 0.12925 
2308 0.14723 0.14723 0.0 19.83975 0.1218 
2330 0.21154 0.21154 0.0 21.14485 0.1818 
2372 0.17972 0.17972 0.0 20.30175 0.11325 
2440 0.1907 0.1907 0.0 20.6928 0.11925 
2533 0.3385 0.3385 0.0 21.7897 0.1618 
2561 0.11762 0.11762 0.0 19.41925 0.10595 
2789 0.28854 0.28854 0.0 21.5295 0.1639 
2943 0.26377 0.26377 0.0 21.2679 0.15695 
3199 0.24931 0.24931 0.0 21.38165 0.1409 
3452 0.22939 0.22939 0.0 20.8794 0.1271 
3592 0.08575 0.08575 0.0 18.608 0.10035 
4000 0.27631 0.27631 0.0 21.62545 0.19055 
4577 0.36165 0.36165 0.0 22.1744 0.1645 
5391 0.30006 0.30006 0.0 21.62535 0.16525 
5395 0.11659 0.11659 0.0 19.38465 0.1036 
5550 0.15474 0.15474 0.0 19.83105 0.1045 
5717 0.2501 0.2501 0.0 21.2982 0.13225 
5736 0.25149 0.25149 0.0 21.209 0.1266 
5751 0.12941 0.12941 0.0 19.5471 0.1075 
5844 0.30894 0.30894 0.0 21.72385 0.1693 
6137 0.29859 0.29859 0.0 21.66705 0.1633 
6192 0.27057 0.27057 0.0 21.3419 0.169 
6249 0.29318 0.29318 0.0 21.57975 0.1437 
6304 0.18988 0.18988 0.0 20.46505 0.1185 
6406 0.12368 0.12368 0.0 19.4023 0.1022 
6649 0.31262 0.31262 0.0 21.63085 0.14295 
